,Event.ID,daily.count,Event.Date,Source.Name,Source.Sectors,Source.Country,Event.Text,CAMEO.Code,Intensity,Target.Name,Target.Sectors,target.recode,Target.Country,Story.ID,Sentence.Number,Publisher,City,District,Province,Country,Latitude,Longitude
360391,20181776,4,7/1/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27287501,4,Folha de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
360833,20182237,4,7/1/13,Citizen (Brazil),"General Population / Civilian / Social,Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27288409,1,AP Spanish Worldstream,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
361581,20185271,4,7/1/13,Pope Francis,"International Religious,Catholic,Government,National Religious,Social",Holy See,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,27356928,1,Agence France-Presse,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
361582,20185272,4,7/1/13,Holy See (Vatican City State),,Holy See,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,27356928,4,Agence France-Presse,,,Estado de Sao Paulo,Brazil,-22,-49
361590,20185282,4,7/1/13,Claudio Hummes,,Brazil,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,27356944,3,ANSA - Spanish Service (BASP),Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
361713,20185429,4,7/1/13,Citizen (Brazil),"General Population / Civilian / Social,Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27357143,1,Inter Press Service,,,,Brazil,-15.8307,-47.6127
365532,20193740,4,7/3/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Obstruct passage, block",144,-7.5,Brazil,,NA,Brazil,27347375,5,Agence France-Presse,Santos,Floriano,Estado do Piaui,Brazil,-7.06667,-43.1333
365533,20193738,4,7/3/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Obstruct passage, block",144,-7.5,Latin America,,NA,,27347375,5,Agence France-Presse,Santos,Floriano,Estado do Piaui,Brazil,-7.06667,-43.1333
365720,20193980,4,7/3/13,Head of Government (Brazil),"Executive Office,Government,Executive",Brazil,Express intent to meet or negotiate,36,4,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27347904,1,Reuters News,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
365924,20194216,4,7/3/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Obstruct passage, block",144,-7.5,Brazil,,NA,Brazil,27348266,5,Agence France-Presse,Santos,Floriano,Estado do Piaui,Brazil,-7.06667,-43.1333
